"rank","gene","knockout_impact_score","module","description","gene_biotype","chromosome_name","start_position","end_position","go_bp_ids","go_bp_terms","n_go_bp","go_mf_ids","go_mf_terms","n_go_mf","was_uncharacterised","now_annotated"
11,"TREM1",2.14203390543376,"immune","triggering receptor expressed on myeloid cells 1","protein_coding","6",41267100,41286682,"GO:0002376; GO:0045087; GO:0002250; GO:0006955; GO:0035556; GO:0030593; GO:0006959; GO:0070945","immune system process; innate immune response; adaptive immune response; immune response; intracellular signal transduction; neutrophil chemotaxis; humoral immune response; neutrophil-mediated killing of gram-negative bacterium",8,"GO:0004888; GO:0038023; GO:0097110","transmembrane signaling receptor activity; signaling receptor activity; scaffold protein binding",3,FALSE,FALSE
12,"KIAA0087",2.13911592551511,"apoptosis","KIAA0087 lncRNA","lncRNA","7",26533121,26538859,NA,NA,NA,NA,NA,NA,FALSE,FALSE
13,"JARID2",2.04968072088986,"epigenetic","jumonji and AT-rich interaction domain containing 2","protein_coding","6",15244937,15522042,"GO:0030154; GO:0006325; GO:0048731; GO:0006338; GO:0010468; GO:0048863; GO:0007417; GO:0008283; GO:0060038; GO:0001889; GO:0042127; GO:0045892; GO:0048536; GO:0048538; GO:0060044; GO:0060816; GO:1902682; GO:1990830; GO:0000122; GO:0140718","cell differentiation; chromatin organization; system development; chromatin remodeling; regulation of gene expression; stem cell differentiation; central nervous system development; cell population proliferation; cardiac muscle cell proliferation; liver development; regulation of cell population proliferation; negative regulation of DNA-templated transcription; spleen development; thymus development; negative regulation of cardiac muscle cell proliferation; random inactivation of X chromosome; protein localization to pericentric heterochromatin; cellular response to leukemia inhibitory factor; negative regulation of transcription by RNA polymerase II; facultative heterochromatin formation",20,"GO:0003677; GO:0005515; GO:0046976; GO:0003682; GO:0043130; GO:0061649","DNA binding; protein binding; histone H3K27 methyltransferase activity; chromatin binding; ubiquitin binding; ubiquitin-modified histone reader activity",6,FALSE,FALSE
14,"TRIB1",2.0034253277123,"signalling","tribbles pseudokinase 1","protein_coding","8",125430358,125438403,"GO:0006468; GO:0032496; GO:0000122; GO:0043409; GO:0032436; GO:0043405; GO:0046329; GO:0014912; GO:0048662; GO:0031399; GO:0031665; GO:0045651","protein phosphorylation; response to lipopolysaccharide; negative regulation of transcription by RNA polymerase II; negative regulation of MAPK cascade; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; regulation of MAP kinase activity; negative regulation of JNK cascade; negative regulation of smooth muscle cell migration; negative regulation of smooth muscle cell proliferation; regulation of protein modification process; negative regulation of lipopolysaccharide-mediated signaling pathway; positive regulation of macrophage differentiation",12,"GO:0005524; GO:0004672; GO:0019899; GO:0005515; GO:0030234; GO:0004860; GO:0061629; GO:0019901; GO:0031625; GO:0031434; GO:0055106","ATP binding; protein kinase activity; enzyme binding; protein binding; enzyme regulator activity; protein kinase inhibitor activity; RNA polymerase II-specific DNA-binding transcription factor binding; protein kinase binding; ubiquitin protein ligase binding; mitogen-activated protein kinase kinase binding; ubiquitin-protein transferase regulator activity",11,FALSE,FALSE
15,"CASC2",1.94014965992345,"apoptosis","cancer susceptibility 2","lncRNA","10",118046279,118210158,NA,NA,NA,NA,NA,NA,FALSE,FALSE
16,"IGF2R",1.92647254552203,"signalling","insulin like growth factor 2 receptor","protein_coding","6",159969082,160113507,"GO:0007041; GO:0048009; GO:0007165; GO:0006898; GO:0001889; GO:0007186; GO:0007283; GO:0009791; GO:0031100; GO:0032526; GO:0042981; GO:0043065; GO:0044794; GO:1904772","lysosomal transport; insulin-like growth factor receptor signaling pathway; signal transduction; receptor-mediated endocytosis; liver development; G protein-coupled receptor signaling pathway; spermatogenesis; post-embryonic development; animal organ regeneration; response to retinoic acid; regulation of apoptotic process; positive regulation of apoptotic process; positive regulation by host of viral process; response to tetrachloromethane",14,"GO:0038023; GO:0005537; GO:0005515; GO:0042802; GO:0051219; GO:1905394; GO:0005010; GO:0001965; GO:0001972; GO:0005520; GO:0019899","signaling receptor activity; D-mannose binding; protein binding; identical protein binding; phosphoprotein binding; retromer complex binding; insulin-like growth factor receptor activity; G-protein alpha-subunit binding; retinoic acid binding; insulin-like growth factor binding; enzyme binding",11,FALSE,FALSE
17,"RAF1",1.9254990212888,"signalling","Raf-1 proto-oncogene, serine/threonine kinase","protein_coding","3",12582101,12664201,"GO:0007165; GO:0006468; GO:0043066; GO:0045595; GO:0000165; GO:0031333; GO:0042060; GO:0042981; GO:0035023; GO:0033138; GO:0001678; GO:0030154; GO:0030878; GO:0035019; GO:0035773; GO:0035994; GO:0045104; GO:0045944; GO:0048011; GO:0048538; GO:0060324; GO:0071550; GO:1902042; GO:0044342; GO:0008286; GO:0014044; GO:0038133; GO:0042552; GO:0048009; GO:0006915; GO:0008285; GO:0043410; GO:0060333","signal transduction; protein phosphorylation; negative regulation of apoptotic process; regulation of cell differentiation; MAPK cascade; negative regulation of protein-containing complex assembly; wound healing; regulation of apoptotic process; regulation of Rho protein signal transduction; positive regulation of peptidyl-serine phosphorylation; intracellular glucose homeostasis; cell differentiation; thyroid gland development; somatic stem cell population maintenance; insulin secretion involved in cellular response to glucose stimulus; response to muscle stretch; intermediate filament cytoskeleton organization; positive regulation of transcription by RNA polymerase II; neurotrophin TRK receptor signaling pathway; thymus development; face development; death-inducing signaling complex assembly; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; type B pancreatic cell proliferation; insulin receptor signaling pathway; Schwann cell development; ERBB2-ERBB3 signaling pathway; myelination; insulin-like growth factor receptor signaling pathway; apoptotic process; negative regulation of cell population proliferation; positive regulation of MAPK cascade; type II interferon-mediated signaling pathway",33,"GO:0005524; GO:0004672; GO:0016740; GO:0046872; GO:0000166; GO:0004674; GO:0016301; GO:0005515; GO:0019899; GO:0008270; GO:0042802; GO:0004709; GO:0031267","ATP binding; protein kinase activity; transferase activity; metal ion binding; nucleotide binding; protein serine/threonine kinase activity; kinase activity; protein binding; enzyme binding; zinc ion binding; identical protein binding; MAP kinase kinase kinase activity; small GTPase binding",13,FALSE,FALSE
18,"L2HGDH",1.92470343316983,"metabolism","L-2-hydroxyglutarate dehydrogenase","protein_coding","14",50237563,50312229,"GO:0006103; GO:0044281","2-oxoglutarate metabolic process; small molecule metabolic process",2,"GO:0016491; GO:0016614; GO:0047545","oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; 2-hydroxyglutarate dehydrogenase activity",3,FALSE,FALSE
19,"AREG",1.91556605455186,"immune","amphiregulin","protein_coding","4",74444999,74455005,"GO:0007173; GO:0008284; GO:0007267; GO:0038134; GO:0007186; GO:0032355; GO:0060598; GO:0060744; GO:0060749; GO:0060750; GO:0014009; GO:0031175; GO:0042327; GO:0043434; GO:0051384; GO:0051591","epidermal growth factor receptor signaling pathway; positive regulation of cell population proliferation; cell-cell signaling; ERBB2-EGFR signaling pathway; G protein-coupled receptor signaling pathway; response to estradiol; dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis; mammary gland branching involved in thelarche; mammary gland alveolus development; epithelial cell proliferation involved in mammary gland duct elongation; glial cell proliferation; neuron projection development; positive regulation of phosphorylation; response to peptide hormone; response to glucocorticoid; response to cAMP",16,"GO:0008083; GO:0005515; GO:0005125; GO:0048018; GO:0005154; GO:0030297","growth factor activity; protein binding; cytokine activity; receptor ligand activity; epidermal growth factor receptor binding; transmembrane receptor protein tyrosine kinase activator activity",6,FALSE,FALSE
20,"ZNF254",1.91439607196975,"epigenetic","zinc finger protein 254","protein_coding","19",24033405,24129968,"GO:0006355; GO:0006357; GO:0000122","regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; negative regulation of transcription by RNA polymerase II",3,"GO:0046872; GO:0003677; GO:0008270; GO:0000978; GO:0000981","metal ion binding; DNA binding; zinc ion binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific",5,FALSE,FALSE
21,"HS3ST1",1.91202839918531,"uncharacterised","heparan sulfate-glucosamine 3-sulfotransferase 1","protein_coding","4",11393150,11429564,"GO:0006024; GO:0015012","glycosaminoglycan biosynthetic process; heparan sulfate proteoglycan biosynthetic process",2,"GO:0008146; GO:0016740; GO:0008467","sulfotransferase activity; transferase activity; [heparan sulfate]-glucosamine 3-sulfotransferase 1 activity",3,TRUE,TRUE
22,"HAL",1.82228222190614,"metabolism","histidine ammonia-lyase","protein_coding","12",95972662,95996365,"GO:0006548; GO:0006547; GO:0019556; GO:0019557","L-histidine catabolic process; L-histidine metabolic process; L-histidine catabolic process to glutamate and formamide; L-histidine catabolic process to glutamate and formate",4,"GO:0003824; GO:0004397; GO:0016841; GO:0016829; GO:0005515","catalytic activity; histidine ammonia-lyase activity; ammonia-lyase activity; lyase activity; protein binding",5,FALSE,FALSE
23,"NCOA2",1.79855169316212,"epigenetic","nuclear receptor coactivator 2","protein_coding","8",70109772,70404191,"GO:0006355; GO:0048511; GO:0045944; GO:0032922; GO:0019216; GO:0042789; GO:0032870; GO:0035357; GO:1900076; GO:1904179; GO:0045879; GO:0000122; GO:0010468; GO:0032570; GO:0045892; GO:1904017; GO:0007623; GO:0010906","regulation of DNA-templated transcription; rhythmic process; positive regulation of transcription by RNA polymerase II; circadian regulation of gene expression; regulation of lipid metabolic process; mRNA transcription by RNA polymerase II; cellular response to hormone stimulus; peroxisome proliferator activated receptor signaling pathway; regulation of cellular response to insulin stimulus; positive regulation of adipose tissue development; negative regulation of smoothened signaling pathway; negative regulation of transcription by RNA polymerase II; regulation of gene expression; response to progesterone; negative regulation of DNA-templated transcription; cellular response to Thyroglobulin triiodothyronine; circadian rhythm; regulation of glucose metabolic process",18,"GO:0046983; GO:0003713; GO:0016922; GO:0005515; GO:0003712; GO:0019904; GO:0000978; GO:0001162; GO:0003682; GO:0005102; GO:0061629","protein dimerization activity; transcription coactivator activity; nuclear receptor binding; protein binding; transcription coregulator activity; protein domain specific binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding; chromatin binding; signaling receptor binding; RNA polymerase II-specific DNA-binding transcription factor binding",11,FALSE,FALSE
24,"RPS6KA5",1.75913001117264,"signalling","ribosomal protein S6 kinase A5","protein_coding","14",90847861,91060682,"GO:0006468; GO:0035556; GO:0045892; GO:0006338; GO:0006355; GO:0001818; GO:0006954; GO:0043687; GO:0045944; GO:0051092; GO:0007411; GO:0038202; GO:0099175","protein phosphorylation; intracellular signal transduction; negative regulation of DNA-templated transcription; chromatin remodeling; regulation of DNA-templated transcription; negative regulation of cytokine production; inflammatory response; post-translational protein modification; positive regulation of transcription by RNA polymerase II; positive regulation of NF-kappaB transcription factor activity; axon guidance; TORC1 signaling; regulation of postsynapse organization",13,"GO:0005524; GO:0004674; GO:0004672; GO:0016740; GO:0046872; GO:0000166; GO:0016301; GO:0005515; GO:0004713; GO:0035175; GO:0044022; GO:0044024","ATP binding; protein serine/threonine kinase activity; protein kinase activity; transferase activity; metal ion binding; nucleotide binding; kinase activity; protein binding; protein tyrosine kinase activity; histone H3S10 kinase activity; histone H3S28 kinase activity; histone H2AS1 kinase activity",12,FALSE,FALSE
25,"LOC400043",1.74521588322976,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
26,"SERTAD2",1.74242779054958,"apoptosis","SERTA domain containing 2","protein_coding","2",64631621,64751005,"GO:0030308; GO:0045893","negative regulation of cell growth; positive regulation of DNA-templated transcription",2,"GO:0005515; GO:0003713","protein binding; transcription coactivator activity",2,FALSE,FALSE
27,"IRS2",1.73062826106417,"signalling","insulin receptor substrate 2","protein_coding","13",109752695,109786583,"GO:0008286; GO:0007165; GO:0007169; GO:0051050; GO:0048009; GO:0008284; GO:0032024; GO:0046326; GO:0009749; GO:0030890; GO:0055088; GO:0010907; GO:0032000; GO:0006006; GO:0019216; GO:0008283; GO:0010631; GO:0016477; GO:0044342; GO:0002053; GO:0007420; GO:0010634; GO:0030879; GO:1904692; GO:0002903; GO:0051897; GO:0071333; GO:1990859","insulin receptor signaling pathway; signal transduction; cell surface receptor protein tyrosine kinase signaling pathway; positive regulation of transport; insulin-like growth factor receptor signaling pathway; positive regulation of cell population proliferation; positive regulation of insulin secretion; positive regulation of D-glucose import; response to glucose; positive regulation of B cell proliferation; lipid homeostasis; positive regulation of glucose metabolic process; positive regulation of fatty acid beta-oxidation; glucose metabolic process; regulation of lipid metabolic process; cell population proliferation; epithelial cell migration; cell migration; type B pancreatic cell proliferation; positive regulation of mesenchymal cell proliferation; brain development; positive regulation of epithelial cell migration; mammary gland development; positive regulation of type B pancreatic cell proliferation; negative regulation of B cell apoptotic process; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; cellular response to glucose stimulus; cellular response to endothelin",28,"GO:0005158; GO:0005515; GO:0035591; GO:0043548; GO:0005068; GO:0019901; GO:0019903; GO:0019904; GO:0030674; GO:0071889; GO:0141038","insulin receptor binding; protein binding; signaling adaptor activity; phosphatidylinositol 3-kinase binding; transmembrane receptor protein tyrosine kinase adaptor activity; protein kinase binding; protein phosphatase binding; protein domain specific binding; protein-macromolecule adaptor activity; 14-3-3 protein binding; phosphatidylinositol 3-kinase activator activity",11,FALSE,FALSE
28,"OCR1",1.7221344518099,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
29,"CREM",1.718096569605,"apoptosis","cAMP responsive element modulator","protein_coding","10",35126791,35212958,"GO:0006355; GO:0048511; GO:0030154; GO:0007283; GO:0006357; GO:0000122; GO:0007165; GO:0141156; GO:0006687; GO:0045944","regulation of DNA-templated transcription; rhythmic process; cell differentiation; spermatogenesis; regulation of transcription by RNA polymerase II; negative regulation of transcription by RNA polymerase II; signal transduction; cAMP/PKA signal transduction; glycosphingolipid metabolic process; positive regulation of transcription by RNA polymerase II",10,"GO:0003677; GO:0003700; GO:0005515; GO:0000978; GO:0000981; GO:0001227; GO:1990837; GO:0000977; GO:0008140","DNA binding; DNA-binding transcription factor activity; protein binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; cAMP response element binding protein binding",9,FALSE,FALSE
30,"RASSF6",1.69021206139615,"uncharacterised","Ras association domain family member 6","protein_coding","4",73571550,73620631,"GO:0007165; GO:0006915; GO:0043065; GO:0042981","signal transduction; apoptotic process; positive regulation of apoptotic process; regulation of apoptotic process",4,"GO:0005515","protein binding",1,TRUE,TRUE
31,"FLJ11292",1.65134179162274,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
32,"COPA",1.64663282921216,"uncharacterised","COPI coat complex subunit alpha","protein_coding","1",160288594,160343566,"GO:0006886; GO:0016192; GO:0006888; GO:0007165; GO:0015031; GO:0006890; GO:0006891; GO:0030157; GO:0099612; GO:1902463","intracellular protein transport; vesicle-mediated transport; endoplasmic reticulum to Golgi vesicle-mediated transport; signal transduction; protein transport; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; intra-Golgi vesicle-mediated transport; pancreatic juice secretion; protein localization to axon; protein localization to cell leading edge",10,"GO:0005515; GO:0005198; GO:0005179; GO:0003729","protein binding; structural molecule activity; hormone activity; mRNA binding",4,TRUE,TRUE
33,"ATG2A",1.64308583081409,"uncharacterised","autophagy related 2A","protein_coding","11",64894531,64917245,"GO:0006914; GO:0006869; GO:0000045; GO:0034727; GO:0061709; GO:0000422; GO:0061723; GO:2000786; GO:0010508","autophagy; lipid transport; autophagosome assembly; piecemeal microautophagy of the nucleus; reticulophagy; autophagy of mitochondrion; glycophagy; positive regulation of autophagosome assembly; positive regulation of autophagy",9,"GO:0005515; GO:0120013; GO:0043495","protein binding; lipid transfer activity; protein-membrane adaptor activity",3,TRUE,TRUE
34,"IL10",1.58810791089987,"immune","interleukin 10","protein_coding","1",206767602,206774541,"GO:0006955; GO:1904707; GO:0001819; GO:0007165; GO:0043066; GO:0045893; GO:0001818; GO:0030097; GO:0010507; GO:0046427; GO:0050728; GO:0045944; GO:0071222; GO:0002237; GO:0008285; GO:0010468; GO:0034115; GO:0042130; GO:0030183; GO:1902895; GO:0002719; GO:0034116; GO:0051384; GO:1904706; GO:0045191; GO:0002639; GO:1900100; GO:0002875; GO:0002904; GO:0030886; GO:0030889; GO:0035729; GO:0042742; GO:0042832; GO:0045348; GO:0060670; GO:0001938; GO:0009410; GO:0014823; GO:0014854; GO:0030595; GO:0032496; GO:0034465; GO:0043032; GO:0043524; GO:0045019; GO:0045347; GO:0045787; GO:0045930; GO:0050807; GO:0051045; GO:0060302; GO:0071392; GO:0071650; GO:0072577; GO:0097421; GO:1903034; GO:1903377; GO:1903672; GO:2000352; GO:0001817","immune response; positive regulation of vascular associated smooth muscle cell proliferation; positive regulation of cytokine production; signal transduction; negative regulation of apoptotic process; positive regulation of DNA-templated transcription; negative regulation of cytokine production; hemopoiesis; negative regulation of autophagy; positive regulation of receptor signaling pathway via JAK-STAT; negative regulation of inflammatory response; positive regulation of transcription by RNA polymerase II; cellular response to lipopolysaccharide; response to molecule of bacterial origin; negative regulation of cell population proliferation; regulation of gene expression; negative regulation of heterotypic cell-cell adhesion; negative regulation of T cell proliferation; B cell differentiation; positive regulation of miRNA transcription; negative regulation of cytokine production involved in immune response; positive regulation of heterotypic cell-cell adhesion; response to glucocorticoid; negative regulation of vascular associated smooth muscle cell proliferation; regulation of isotype switching; positive regulation of immunoglobulin production; positive regulation of plasma cell differentiation; negative regulation of chronic inflammatory response to antigenic stimulus; positive regulation of B cell apoptotic process; negative regulation of myeloid dendritic cell activation; negative regulation of B cell proliferation; cellular response to hepatocyte growth factor stimulus; defense response to bacterium; defense response to protozoan; positive regulation of MHC class II biosynthetic process; branching involved in labyrinthine layer morphogenesis; positive regulation of endothelial cell proliferation; response to xenobiotic stimulus; response to activity; response to inactivity; leukocyte chemotaxis; response to lipopolysaccharide; response to carbon monoxide; positive regulation of macrophage activation; negative regulation of neuron apoptotic process; negative regulation of nitric oxide biosynthetic process; negative regulation of MHC class II biosynthetic process; positive regulation of cell cycle; negative regulation of mitotic cell cycle; regulation of synapse organization; negative regulation of membrane protein ectodomain proteolysis; negative regulation of cytokine activity; cellular response to estradiol stimulus; negative regulation of chemokine (C-C motif) ligand 5 production; endothelial cell apoptotic process; liver regeneration; regulation of response to wounding; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway; positive regulation of sprouting angiogenesis; negative regulation of endothelial cell apoptotic process; regulation of cytokine production",61,"GO:0005125; GO:0008083; GO:0005515; GO:0046983; GO:0005141","cytokine activity; growth factor activity; protein binding; protein dimerization activity; interleukin-10 receptor binding",5,FALSE,FALSE
